Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.00      0.03     0.00     4637     0.00     0.00  void std::allocator_traits<std::allocator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*> >::destroy<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*>(std::allocator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*>&, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node**)
  0.00      0.03     0.00     4637     0.00     0.00  void std::allocator_traits<std::allocator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*> >::construct<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node* const&>(std::allocator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*>&, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node**, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node* const&)
  0.00      0.03     0.00     4637     0.00     0.00  std::deque<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, std::allocator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*> >::back()
  0.00      0.03     0.00     4637     0.00     0.00  std::deque<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, std::allocator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*> >::pop_back()
  0.00      0.03     0.00     4637     0.00     0.00  std::deque<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, std::allocator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*> >::push_back(AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node* const&)
  0.00      0.03     0.00     4637     0.00     0.00  std::stack<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, std::deque<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, std::allocator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*> > >::pop()
  0.00      0.03     0.00     4637     0.00     0.00  std::stack<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, std::deque<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, std::allocator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*> > >::top()
  0.00      0.03     0.00     4637     0.00     0.00  std::stack<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, std::deque<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, std::allocator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*> > >::push(AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node* const&)
  0.00      0.03     0.00     3964     0.00     0.00  AVLTreeInternals::AVLTreeBase<int, std::less<int> >::rotateLL(bool, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*)
  0.00      0.03     0.00     3761     0.00     0.00  AVLTreeInternals::AVLTreeBase<int, std::less<int> >::rotateRR(bool, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*)
