Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      2.85     0.00   632027     0.00     0.00  std::_Rb_tree_node<int>*& std::forward<std::_Rb_tree_node<int>*&>(std::remove_reference<std::_Rb_tree_node<int>*&>::type&)
  0.00      2.85     0.00   631920     0.00     0.00  AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node::~Node()
  0.00      2.85     0.00   500114     0.00     0.00  std::_Rb_tree_iterator<int>::operator==(std::_Rb_tree_iterator<int> const&) const
  0.00      2.85     0.00   500104     0.00     0.00  std::_Rb_tree_iterator<int>::operator--()
  0.00      2.85     0.00   466174     0.00     0.00  AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node* const& std::forward<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node* const&>(std::remove_reference<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node* const&>::type&)
  0.00      2.85     0.00   399320     0.00     0.00  std::_Rb_tree_const_iterator<int>::operator++(int)
  0.00      2.85     0.00   399320     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_erase_aux(std::_Rb_tree_const_iterator<int>)
  0.00      2.85     0.00   399320     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_lower_bound(std::_Rb_tree_node<int>*, std::_Rb_tree_node_base*, int const&)
  0.00      2.85     0.00   385566     0.00     0.00  AVLTreeInternals::AVLTreeBase<int, std::less<int> >::rotate(bool, bool, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*)
  0.00      2.85     0.00   367973     0.00     0.00  std::pair<std::_Rb_tree_node_base*, std::_Rb_tree_node_base*>::pair<std::_Rb_tree_node_base*&, true>(std::_Rb_tree_node_base*&, std::_Rb_tree_node_base* const&)
  0.00      2.85     0.00   233089     0.00     0.00  std::_Deque_iterator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*&, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node**>::_Deque_iterator(std::_Deque_iterator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*&, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node**> const&)
  0.00      2.85     0.00   233088     0.00     0.00  std::deque<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, std::allocator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*> >::empty() const
  0.00      2.85     0.00   233088     0.00     0.00  std::stack<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, std::deque<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, std::allocator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*> > >::empty() const
  0.00      2.85     0.00   233088     0.00     0.00  std::deque<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, std::allocator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*> >::end()
  0.00      2.85     0.00   233088     0.00     0.00  bool std::operator==<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*&, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node**>(std::_Deque_iterator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*&, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node**> const&, std::_Deque_iterator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*&, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node**> const&)
  0.00      2.85     0.00   233087     0.00     0.00  void __gnu_cxx::new_allocator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*>::destroy<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*>(AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node**)
  0.00      2.85     0.00   233087     0.00     0.00  void __gnu_cxx::new_allocator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*>::construct<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node* const&>(AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node**, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node* const&)
  0.00      2.85     0.00   233087     0.00     0.00  std::_Deque_iterator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*&, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node**>::operator*() const
  0.00      2.85     0.00   233087     0.00     0.00  std::_Deque_iterator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*&, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node**>::operator--()
  0.00      2.85     0.00   233087     0.00     0.00  void std::allocator_traits<std::allocator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*> >::destroy<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*>(std::allocator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*>&, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node**)
  0.00      2.85     0.00   233087     0.00     0.00  void std::allocator_traits<std::allocator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*> >::construct<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node* const&>(std::allocator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*>&, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node**, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node* const&)
  0.00      2.85     0.00   233087     0.00     0.00  std::deque<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, std::allocator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*> >::pop_back()
  0.00      2.85     0.00   233087     0.00     0.00  std::deque<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, std::allocator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*> >::push_back(AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node* const&)
  0.00      2.85     0.00   233087     0.00     0.00  std::stack<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, std::deque<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, std::allocator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*> > >::pop()
  0.00      2.85     0.00   233087     0.00     0.00  std::stack<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, std::deque<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, std::allocator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*> > >::top()
  0.00      2.85     0.00   233087     0.00     0.00  std::stack<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, std::deque<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, std::allocator<AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*> > >::push(AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node* const&)
  0.00      2.85     0.00   199574     0.00     0.00  AVLTreeInternals::AVLTreeBase<int, std::less<int> >::rotateLL(bool, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*)
  0.00      2.85     0.00   185992     0.00     0.00  AVLTreeInternals::AVLTreeBase<int, std::less<int> >::rotateRR(bool, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*, AVLTreeInternals::AVLTreeBase<int, std::less<int> >::Node*)
