Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      2.88     0.00   399320     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_erase_aux(std::_Rb_tree_const_iterator<int>)
  0.00      2.88     0.00   399320     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_lower_bound(std::_Rb_tree_node<int>*, std::_Rb_tree_node_base*, int const&)
  0.00      2.88     0.00   399320     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_upper_bound(std::_Rb_tree_node<int>*, std::_Rb_tree_node_base*, int const&)
  0.00      2.88     0.00   398833     0.00     0.00  AVLTree<int, std::less<int> >::balanceTreeRemove(AVLTree<int, std::less<int> >::Node*)
  0.00      2.88     0.00   367973     0.00     0.00  std::pair<std::_Rb_tree_node_base*, std::_Rb_tree_node_base*>::pair<std::_Rb_tree_node_base*&, true>(std::_Rb_tree_node_base*&, std::_Rb_tree_node_base* const&)
  0.00      2.88     0.00   293963     0.00     0.00  AVLTree<int, std::less<int> >::getRotationType(AVLTree<int, std::less<int> >::Node*, AVLTree<int, std::less<int> >::Node*, AVLTree<int, std::less<int> >::Node*)
  0.00      2.88     0.00   293963     0.00     0.00  AVLTree<int, std::less<int> >::Rotate(bool, AVLTree<int, std::less<int> >::Node*, AVLTree<int, std::less<int> >::Node*, AVLTree<int, std::less<int> >::Node*, AVLTree<int, std::less<int> >::Node*)
  0.00      2.88     0.00   105212     0.00     0.00  AVLTree<int, std::less<int> >::RotateLL(bool, AVLTree<int, std::less<int> >::Node*, AVLTree<int, std::less<int> >::Node*, AVLTree<int, std::less<int> >::Node*, AVLTree<int, std::less<int> >::Node*)
  0.00      2.88     0.00    96911     0.00     0.00  AVLTree<int, std::less<int> >::RotateRR(bool, AVLTree<int, std::less<int> >::Node*, AVLTree<int, std::less<int> >::Node*, AVLTree<int, std::less<int> >::Node*, AVLTree<int, std::less<int> >::Node*)
  0.00      2.88     0.00      243     0.00     0.00  Compare::operator()(testing, testing) const
  0.00      2.88     0.00      175     0.00     0.00  std::__deque_buf_size(unsigned long)
  0.00      2.88     0.00      166     0.00     0.00  AVLTree<testing, Compare>::getHeight(AVLTree<testing, Compare>::Node*)
  0.00      2.88     0.00      154     0.00     0.00  std::_Deque_iterator<AVLTree<testing, Compare>::Iterator::IteratorNodeData, AVLTree<testing, Compare>::Iterator::IteratorNodeData&, AVLTree<testing, Compare>::Iterator::IteratorNodeData*>::_Deque_iterator(std::_Deque_iterator<AVLTree<testing, Compare>::Iterator::IteratorNodeData, AVLTree<testing, Compare>::Iterator::IteratorNodeData&, AVLTree<testing, Compare>::Iterator::IteratorNodeData*> const&)
  0.00      2.88     0.00      150     0.00     0.00  std::deque<AVLTree<testing, Compare>::Iterator::IteratorNodeData, std::allocator<AVLTree<testing, Compare>::Iterator::IteratorNodeData> >::end()
  0.00      2.88     0.00      146     0.00     0.00  std::_Deque_iterator<AVLTree<testing, Compare>::Iterator::IteratorNodeData, AVLTree<testing, Compare>::Iterator::IteratorNodeData&, AVLTree<testing, Compare>::Iterator::IteratorNodeData*>::operator*() const
  0.00      2.88     0.00      146     0.00     0.00  std::_Deque_iterator<AVLTree<testing, Compare>::Iterator::IteratorNodeData, AVLTree<testing, Compare>::Iterator::IteratorNodeData&, AVLTree<testing, Compare>::Iterator::IteratorNodeData*>::operator--()
  0.00      2.88     0.00      146     0.00     0.00  std::deque<AVLTree<testing, Compare>::Iterator::IteratorNodeData, std::allocator<AVLTree<testing, Compare>::Iterator::IteratorNodeData> >::back()
  0.00      2.88     0.00      146     0.00     0.00  std::stack<AVLTree<testing, Compare>::Iterator::IteratorNodeData, std::deque<AVLTree<testing, Compare>::Iterator::IteratorNodeData, std::allocator<AVLTree<testing, Compare>::Iterator::IteratorNodeData> > >::top()
  0.00      2.88     0.00      141     0.00     0.00  std::_Deque_iterator<AVLTree<testing, Compare>::Iterator::IteratorNodeData, AVLTree<testing, Compare>::Iterator::IteratorNodeData&, AVLTree<testing, Compare>::Iterator::IteratorNodeData*>::_S_buffer_size()
  0.00      2.88     0.00      133     0.00     0.00  std::deque<AVLTree<testing, Compare>::Iterator::IteratorNodeData, std::allocator<AVLTree<testing, Compare>::Iterator::IteratorNodeData> >::size() const
  0.00      2.88     0.00      133     0.00     0.00  std::stack<AVLTree<testing, Compare>::Iterator::IteratorNodeData, std::deque<AVLTree<testing, Compare>::Iterator::IteratorNodeData, std::allocator<AVLTree<testing, Compare>::Iterator::IteratorNodeData> > >::size() const
  0.00      2.88     0.00      133     0.00     0.00  std::_Deque_iterator<AVLTree<testing, Compare>::Iterator::IteratorNodeData, AVLTree<testing, Compare>::Iterator::IteratorNodeData&, AVLTree<testing, Compare>::Iterator::IteratorNodeData*>::difference_type std::operator-<AVLTree<testing, Compare>::Iterator::IteratorNodeData, AVLTree<testing, Compare>::Iterator::IteratorNodeData&, AVLTree<testing, Compare>::Iterator::IteratorNodeData*>(std::_Deque_iterator<AVLTree<testing, Compare>::Iterator::IteratorNodeData, AVLTree<testing, Compare>::Iterator::IteratorNodeData&, AVLTree<testing, Compare>::Iterator::IteratorNodeData*> const&, std::_Deque_iterator<AVLTree<testing, Compare>::Iterator::IteratorNodeData, AVLTree<testing, Compare>::Iterator::IteratorNodeData&, AVLTree<testing, Compare>::Iterator::IteratorNodeData*> const&)
  0.00      2.88     0.00       76     0.00     0.00  AVLTree<testing, Compare>::TEqual(testing const&, testing const&) const
  0.00      2.88     0.00       72     0.00     0.00  AVLTree<testing, Compare>::Iterator::IteratorNodeData&& std::forward<AVLTree<testing, Compare>::Iterator::IteratorNodeData>(std::remove_reference<AVLTree<testing, Compare>::Iterator::IteratorNodeData>::type&)
  0.00      2.88     0.00       65     0.00     0.00  AVLTree<testing, Compare>::calculateBalanceFactors(AVLTree<testing, Compare>::Node*)
  0.00      2.88     0.00       49     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > __gnu_cxx::__to_xstring<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char>(int (*)(char*, unsigned long, char const*, __va_list_tag*), unsigned long, char const*, ...)
  0.00      2.88     0.00       49     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char>(char*)
  0.00      2.88     0.00       49     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*)
  0.00      2.88     0.00       49     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag)
  0.00      2.88     0.00       49     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct_aux<char*>(char*, char*, std::__false_type)
  0.00      2.88     0.00       49     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<char*, void>(char*, char*, std::allocator<char> const&)
  0.00      2.88     0.00       49     0.00     0.00  std::__cxx11::to_string(int)
  0.00      2.88     0.00       49     0.00     0.00  std::iterator_traits<char*>::difference_type std::__distance<char*>(char*, char*, std::random_access_iterator_tag)
  0.00      2.88     0.00       49     0.00     0.00  std::iterator_traits<char*>::iterator_category std::__iterator_category<char*>(char* const&)
  0.00      2.88     0.00       49     0.00     0.00  std::iterator_traits<char*>::difference_type std::distance<char*>(char*, char*)
  0.00      2.88     0.00       49     0.00     0.00  operator<<(std::ostream&, testing&)
  0.00      2.88     0.00       48     0.00     0.00  std::remove_reference<AVLTree<testing, Compare>::Iterator::IteratorNodeData&>::type&& std::move<AVLTree<testing, Compare>::Iterator::IteratorNodeData&>(AVLTree<testing, Compare>::Iterator::IteratorNodeData&)
  0.00      2.88     0.00       34     0.00     0.00  AVLTree<testing, Compare>::Node* const& std::forward<AVLTree<testing, Compare>::Node* const&>(std::remove_reference<AVLTree<testing, Compare>::Node* const&>::type&)
  0.00      2.88     0.00       30     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >::count() const
  0.00      2.88     0.00       25     0.00     0.00  testing::testing(int, int)
